title,author,rating,reviews_count,isbn10,price,company
ONE MINUTE MANAGER,Kenneth Blanchard,4.4,1087,8172234996,118.0,Flipkart
Questions are the Answers,Allan Pease,4.3,1308,8186775064,114.0,Flipkart
The Big 100: The 100 Business Tools You Need To Succeed,Jeremy Kourdi,4.1,28,1444796119,197.0,Flipkart
Naye Zamane Ka Naya Business,Manshani Shanker,4.4,118,8183222692,195.0,Flipkart
Questions are the Answers,Pease Allan,4.2,145,8183222374,93.0,Flipkart
Inside the C - Suite,Jayaram Easwaran,4.0,5,9352773691,240.0,Flipkart
Business Studies Class- 11 - CBSE-2018,POONAM GANDHI,4.5,33,9387516806,342.0,Flipkart
Narrative and Numbers: The Value of Stories in Business,Aswath Damodaran,4.348216833095578,0,9353024536,311.0,Flipkart
Sochiye Aur Ameer Baniye,Hill Napoleon,4.2,665,8186775552,112.0,Flipkart
VK Business Studies Class 12 - Business Studies,Poonam Gandhi,4.1,35,9387516644,381.0,Flipkart
A FEAST OF VULTURES,Josy Joseph,4.5,195,9350297515,599.0,Flipkart
I Have a Dream,Bansal Rashmi,4.0,1007,9380658389,187.0,Flipkart
Logo Ko 90 Seconds Main Prabhavit Kare (Hindi),Nicholas Boothman,4.4,9,8183226957,215.0,Flipkart
Think and Grow Rich - Magic Formula for Success- Wealth and Wisdom,Hill Napoleon,4.3,196,8183223133,203.0,Flipkart
Marketing 4.0 - Moving from Traditional to Digital,Philip Kotler' and  ' Hermawan Kartajaya' and  ' Iwan Setiawan,4.4,64,8126566930,298.0,Flipkart
Questions are the Answers (Marathi),Pease Allan,4.3,30,8186775447,112.0,Flipkart
HBR's 10 Must Reads on Leadership,Harvard Business Review,4.7,30,1422157970,563.0,Flipkart
Retire Young Retire Rich,Kiyosaki Robert T.,4.5,125,8183221459,308.0,Flipkart
Hum Aapko Ameer Kyon Banana Chahte Hain?,Trump Donald J.,4.2,43,8183220908,419.0,Flipkart
Connect the Dots,Bansal Rashmi,4.3,992,9381626707,191.0,Flipkart
Corporate Chanakya on Leadership (With CD),Radhakrishnan Pillai,4.3,68,8184953070,232.0,Flipkart
Corporate Guru Dhirubhai Ambani,Tiwari Prateeksha M.,4.6,44,8128824287,101.0,Flipkart
CBSE Chapterwise Solved Paper Business Studies Class 12,Arihant Expert,4.5,172,9313161443,124.0,Flipkart
The Essential Collection for Young Readers,Bond Ruskin,4.4,191,8129137003,118.0,Flipkart
Lovely Board Books - Gift Pack,unknown,4.2,233,8184511590,455.0,Flipkart
The Vedas and Upanishads for Children,Roopa Pai,4.9,8,9351952967,238.0,Flipkart
Goodnight Moon,Wise Brown Margaret,4.0,34,1509829466,139.0,Flipkart
365 Pancharantra Stories,OM Books,4.4,242,8187107588,396.0,Flipkart
The Blue Umbrella,Bond Ruskin,4.5,571,8129124548,90.0,Flipkart
Baby Touch: Peekaboo,,4.4,356,1409300498,319.0,Flipkart
The Book of Children,Osho,4.5,31,1250006201,280.0,Flipkart
Children's Encyclopedia - The World of Knowledge,Editorial Board,4.2,99,9350571099,975.0,Flipkart
Student's Encyclopedia of General Knowledge,Khan Azeem Ahmad,4.4,859,9380914199,131.0,Flipkart
A Complete Resource for CTET: Child Development and Pedagogy - Central Teacher Eligibility Test - Common for Paper I and II,Kumar Sandeep,4.2,616,9332541302,141.0,Flipkart
Jane Eyre : Jane Eyre,Charlotte Bronte,4.5,39,8193387619,99.0,Flipkart
Metamorphosis,Kafka Franz,4.4,466,8172345135,94.0,Flipkart
Three Men in a Boat,Jerome Karen A.,4.3,106,8172344430,140.0,Flipkart
Macbeth,Shakespeare William,4.4,180,8175994193,117.0,Flipkart
Greatest Short Stories of Leo Tolstoy,Leo Tolstoy,4.6,214,8184950314,184.0,Flipkart
Mrs. Dalloway,Virginia Woolf,4.3,24,8175994215,150.0,Flipkart
The Origin of Species,Darwin Charles,4.4,142,8172344880,188.0,Flipkart
Tantri the Mantri 4,Shriya Ghate,4.4,64,9350853701,79.0,Flipkart
Bahubali,India Graphic,4.0,102,9386224658,95.0,Flipkart
Geronimo Stilton #64,Stilton Geronimo,4.5,285,9386106256,184.0,Flipkart
Objective Computer Awareness,unknown,4.3,1936,9311121266,78.0,Flipkart
A Handbook for Computer Science /it Engineering,unknown,4.3,490,9383643242,191.0,Flipkart
Handbook of Computer Science & it,unknown,4.2,950,9350944308,120.0,Flipkart
Ccc (Course on Computer Concepts) Study Guide - Based on NIELIT (DOEACC) Latest Syllabus 2018 Edition,Arihant Experts,4.2,810,9311124559,125.0,Flipkart
Computer Knowledge for SBI/ IBPS Clerk/ PO/ RRB/ RBI/ SSC/ Railways/ Insurance Exams 2nd Edition,Shikha Agarwal,4.1,482,9386320177,104.0,Flipkart
19 years GATE Computer Science & Information Technology Chapter-wise & Topic-wise Solved Papers (2018 - 2000) with 4 Online Practice Sets 5th Edition,Disha Experts,4.2,46,9388026764,189.0,Flipkart
Computer System Architecture 3e (Update) by Pearson,unknown,4.5,116,9332585601,446.0,Flipkart
CBSE Computer Science Chapterwise Solved Papers Class 12,Arihant Expert,4.5,472,9313161486,166.0,Flipkart
All in One Computer Science Cbse Class 12th,Goyal Minni,4.5,261,9312149091,232.0,Flipkart
Computer Networks,Tanenbaum Andrew S.,4.4,304,9332518742,493.0,Flipkart
Ccc (Course on Computer Concepts),unknown,4.2,649,9311124567,94.0,Flipkart
Oswaal ICSE Question Bank Chapterwise & Topicwise Class 10 Computer App. (Mar 2019 Exam),Panel of Experts,4.5,53,9387504743,79.0,Flipkart
Super Speed Computer Course,Shashank Johari,3.8,70,8173158762,195.0,Flipkart
Comdex Hardware and Networking Coure Kit- Revised & Upgraded,Gupta Vikas,4.2,44,9351192652,399.0,Flipkart
Object-Oriented Programming with C++,Balagurusamy,4.5,276,9352607996,371.0,Flipkart
Programming and Problem Solving with Python,Ashok Namdev Kamthane' and  ' Amit Ashok Kamthane,4.4,171,9387067572,416.0,Flipkart
Oswaal CBSE Question Bank for Class 10 Social Science (Mar 2019 Exam),unknown,4.4,1539,9387504921,303.0,Flipkart
Olympiad Champs Cyber Class 1 with Past Olympiad Questions,Disha Experts,4.8,6,9388240278,102.0,Flipkart
Computer Fundamentals,Goel Anita,4.3,240,8131733092,455.0,Flipkart
Electronics and Communication Engineering GATE 2019,Er.Ankit Goel|Alka Singh,4.4,222,9312148222,556.0,Flipkart
Brain Games for Clever Kids,Gareth Moore,4.2,179,1780552491,137.0,Flipkart
The Perfect Murder,Bond Ruskin,4.3,279,8129144972,118.0,Flipkart
3 and a Half Murders - An Inspector Saralkar Mystery,Salil Desai,4.5,16,8175994258,188.0,Flipkart
I Am Watching You,Driscoll Teresa,4.2,41,1542046599,269.0,Flipkart
Born A Crime,Noah Trevor,4.7,224,1473635306,299.0,Flipkart
THE OTHER SIDE OF MIDNIGHT,Sidney Sheldon,4.5,386,8172234937,209.0,Flipkart
